respondent_id,constituency,age,gender,education,occupation,income_bracket,urban_rural,port_development,infrastructure,welfare_programs,corruption_concern,education_quality,leader_image,national_issues,law_and_order,environment_concern,transport_public,housing_affordability,women_safety,small_business_support,past_vote,vote_intention
71,Visakhapatnam (Vizag),70,Male,Graduate,Private Job,Middle,Urban,3,5,4,2,5,5,3,3,3,4,3,3,4,None,YSRCP
72,Visakhapatnam (Vizag),19,Female,Primary,Private Job,Middle,Rural,5,4,3,3,5,4,2,3,4,4,3,5,4,TDP,TDP
73,Visakhapatnam (Vizag),37,Male,Secondary,Private Job,Middle,Rural,4,3,4,3,3,4,4,3,4,3,3,4,3,JanaSena,JanaSena
74,Visakhapatnam (Vizag),45,Female,Graduate,Government Employee,Middle,Urban,4,5,5,2,3,4,3,3,3,3,4,4,3,TDP,YSRCP
75,Visakhapatnam (Vizag),64,Male,Graduate,Fisherman,Middle,Urban,4,4,5,3,3,5,3,4,3,4,3,4,3,JanaSena,BJP
76,Visakhapatnam (Vizag),77,Female,Secondary,Self-Employed,Middle,Urban,4,4,4,3,4,5,3,3,3,4,2,4,3,JanaSena,JanaSena
77,Visakhapatnam (Vizag),24,Male,Postgraduate,Student,Low,Urban,3,4,3,3,4,3,4,4,3,4,2,4,4,YSRCP,BJP
78,Visakhapatnam (Vizag),61,Female,Graduate,Private Job,High,Rural,4,4,3,3,4,4,4,5,3,4,3,3,4,BJP,BJP
79,Visakhapatnam (Vizag),78,Female,Secondary,Fisherman,High,Urban,4,4,3,5,4,4,4,4,2,3,4,3,3,BJP,BJP
80,Visakhapatnam (Vizag),25,Male,Graduate,Self-Employed,Middle,Urban,5,3,4,4,3,4,3,5,3,3,3,4,3,BJP,BJP
81,Visakhapatnam (Vizag),64,Female,Graduate,Self-Employed,Low,Rural,5,5,4,4,4,4,3,3,3,4,3,4,5,YSRCP,YSRCP
82,Visakhapatnam (Vizag),52,Male,Secondary,Student,Low,Coastal,5,4,5,2,4,4,3,3,4,4,3,3,4,TDP,YSRCP
83,Visakhapatnam (Vizag),31,Male,Secondary,Private Job,Middle,Coastal,4,4,5,3,3,4,3,3,4,4,3,4,4,TDP,YSRCP
84,Visakhapatnam (Vizag),34,Male,Secondary,Private Job,Low,Coastal,3,3,3,4,4,3,5,5,3,3,4,3,3,YSRCP,BJP
85,Visakhapatnam (Vizag),53,Female,Graduate,Fisherman,Middle,Coastal,4,4,3,3,4,4,3,3,4,5,4,3,4,YSRCP,YSRCP
86,Visakhapatnam (Vizag),67,Female,Secondary,Fisherman,Middle,Urban,3,5,4,2,3,4,3,3,3,4,3,4,4,YSRCP,YSRCP
87,Visakhapatnam (Vizag),57,Male,Graduate,Student,Low,Coastal,5,4,4,2,5,4,4,4,3,4,4,3,3,YSRCP,YSRCP
88,Visakhapatnam (Vizag),21,Female,Graduate,Student,High,Urban,4,5,4,4,3,4,5,4,3,3,3,4,3,YSRCP,BJP
89,Visakhapatnam (Vizag),19,Male,Primary,Government Employee,Middle,Rural,3,3,4,4,4,4,3,2,4,4,3,4,4,JanaSena,JanaSena
90,Visakhapatnam (Vizag),79,Male,Graduate,Self-Employed,Middle,Rural,4,4,3,3,3,5,3,3,3,4,3,4,4,JanaSena,JanaSena
91,Visakhapatnam (Vizag),23,Male,Secondary,Government Employee,Middle,Urban,5,5,4,4,5,4,4,4,3,4,5,4,4,BJP,TDP
92,Visakhapatnam (Vizag),71,Male,Graduate,Private Job,Low,Coastal,3,4,4,4,3,4,3,3,3,3,3,5,4,JanaSena,JanaSena
93,Visakhapatnam (Vizag),59,Male,Graduate,Private Job,Middle,Coastal,4,4,2,4,3,3,4,4,3,3,3,5,3,BJP,YSRCP
94,Visakhapatnam (Vizag),21,Female,Secondary,Self-Employed,Low,Urban,4,4,4,3,4,3,3,3,3,4,3,4,4,YSRCP,TDP
95,Visakhapatnam (Vizag),71,Male,Secondary,Fisherman,High,Coastal,4,4,4,4,5,4,3,3,5,4,4,4,4,TDP,TDP
96,Visakhapatnam (Vizag),46,Male,Secondary,Self-Employed,Middle,Urban,4,5,4,2,4,4,3,3,4,4,4,4,4,YSRCP,YSRCP
97,Visakhapatnam (Vizag),35,Male,Primary,Self-Employed,Low,Rural,5,3,4,3,4,5,4,3,4,4,3,3,3,TDP,JanaSena
98,Visakhapatnam (Vizag),43,Male,Secondary,Fisherman,Middle,Urban,3,3,4,4,4,5,2,4,3,4,5,3,4,TDP,TDP
99,Visakhapatnam (Vizag),61,Female,Secondary,Government Employee,Middle,Rural,4,3,4,4,4,3,4,3,5,5,3,3,4,TDP,TDP
100,Visakhapatnam (Vizag),51,Male,Postgraduate,Self-Employed,Low,Coastal,3,3,2,5,4,4,5,4,3,4,3,4,3,None,TDP
101,Visakhapatnam (Vizag),27,Female,Secondary,Government Employee,High,Coastal,4,4,5,2,3,3,3,3,3,4,3,5,5,BJP,YSRCP
102,Visakhapatnam (Vizag),79,Female,Secondary,Self-Employed,Low,Coastal,5,4,5,3,4,4,4,3,4,4,4,4,3,YSRCP,YSRCP
103,Visakhapatnam (Vizag),53,Female,Graduate,Self-Employed,Low,Urban,5,4,3,4,4,3,3,3,4,4,4,4,3,TDP,TDP
104,Visakhapatnam (Vizag),31,Female,Primary,Private Job,Middle,Coastal,5,4,3,3,4,5,3,4,3,3,3,4,4,YSRCP,YSRCP
105,Visakhapatnam (Vizag),48,Male,Postgraduate,Private Job,Middle,Urban,3,3,3,5,3,3,4,4,3,4,3,4,4,BJP,BJP
106,Visakhapatnam (Vizag),65,Female,Graduate,Self-Employed,Middle,Coastal,3,4,3,3,5,4,4,3,4,4,4,3,4,BJP,TDP
107,Visakhapatnam (Vizag),32,Female,Graduate,Government Employee,Middle,Urban,4,4,4,3,5,3,3,3,4,4,4,3,3,YSRCP,YSRCP
108,Visakhapatnam (Vizag),25,Female,Secondary,Fisherman,Middle,Urban,3,5,5,4,4,3,3,3,4,4,4,4,3,TDP,TDP
109,Visakhapatnam (Vizag),31,Male,Secondary,Fisherman,Middle,Rural,3,4,3,4,5,3,4,3,5,5,4,3,3,BJP,JanaSena
110,Visakhapatnam (Vizag),40,Male,Secondary,Government Employee,Low,Urban,4,5,3,3,4,4,4,3,4,4,3,4,3,YSRCP,TDP
111,Visakhapatnam (Vizag),77,Male,Graduate,Self-Employed,Low,Urban,2,4,3,4,3,3,5,4,3,4,3,4,4,None,BJP
112,Visakhapatnam (Vizag),74,Female,Primary,Self-Employed,Low,Urban,3,5,4,4,3,4,5,4,2,3,3,4,3,YSRCP,BJP
113,Visakhapatnam (Vizag),79,Female,Secondary,Government Employee,Low,Urban,4,4,5,4,3,4,5,5,4,4,4,4,4,BJP,BJP
114,Visakhapatnam (Vizag),57,Female,Postgraduate,Fisherman,Middle,Urban,3,4,4,3,3,5,3,2,4,4,3,4,4,JanaSena,JanaSena
115,Visakhapatnam (Vizag),38,Male,Secondary,Private Job,Low,Urban,4,5,3,3,4,4,4,2,3,4,3,3,4,YSRCP,YSRCP
116,Visakhapatnam (Vizag),33,Female,Secondary,Self-Employed,Low,Urban,4,4,3,3,4,4,4,4,4,4,3,3,4,TDP,TDP
117,Visakhapatnam (Vizag),62,Male,Primary,Fisherman,Low,Urban,4,3,3,4,4,5,3,3,4,3,3,4,4,JanaSena,JanaSena
118,Visakhapatnam (Vizag),35,Male,Postgraduate,Private Job,High,Rural,4,4,4,3,4,4,2,3,4,4,4,4,4,BJP,TDP
119,Visakhapatnam (Vizag),64,Male,Primary,Fisherman,High,Urban,3,3,4,2,3,4,3,3,3,4,4,4,4,YSRCP,YSRCP
120,Visakhapatnam (Vizag),70,Female,Graduate,Government Employee,Middle,Coastal,4,4,3,4,4,3,3,4,4,4,4,4,4,JanaSena,TDP
121,Visakhapatnam (Vizag),41,Male,Graduate,Self-Employed,High,Coastal,4,4,4,3,4,3,3,3,3,4,4,3,4,TDP,YSRCP
122,Visakhapatnam (Vizag),43,Female,Secondary,Private Job,Middle,Urban,5,4,4,2,4,5,4,3,4,3,3,4,4,YSRCP,YSRCP
123,Visakhapatnam (Vizag),42,Female,Graduate,Private Job,Middle,Coastal,3,3,4,3,4,4,4,4,4,3,3,4,4,JanaSena,JanaSena
124,Visakhapatnam (Vizag),77,Male,Primary,Government Employee,Low,Coastal,4,4,3,4,4,3,3,4,4,4,4,3,4,TDP,TDP
125,Visakhapatnam (Vizag),77,Female,Secondary,Self-Employed,Middle,Coastal,5,4,4,3,3,4,3,4,3,4,3,3,4,YSRCP,YSRCP
126,Visakhapatnam (Vizag),77,Male,Graduate,Fisherman,Middle,Rural,3,3,4,4,4,5,4,3,4,4,3,4,4,YSRCP,TDP
127,Visakhapatnam (Vizag),62,Male,Postgraduate,Private Job,Middle,Urban,4,3,4,3,3,5,3,3,3,4,4,4,4,JanaSena,JanaSena
128,Visakhapatnam (Vizag),58,Male,Graduate,Private Job,Middle,Rural,3,4,3,3,4,3,4,3,4,4,3,4,4,TDP,TDP
129,Visakhapatnam (Vizag),46,Male,Secondary,Self-Employed,Middle,Rural,4,4,4,3,4,4,3,3,3,4,3,4,3,YSRCP,YSRCP
130,Visakhapatnam (Vizag),32,Female,Secondary,Private Job,Middle,Rural,4,3,3,5,3,3,4,4,3,2,3,4,3,BJP,BJP
131,Visakhapatnam (Vizag),62,Male,Primary,Fisherman,High,Urban,4,4,3,4,4,4,4,4,3,3,3,3,3,JanaSena,BJP
132,Visakhapatnam (Vizag),18,Female,Primary,Government Employee,Low,Coastal,5,3,2,4,4,3,3,5,3,3,3,4,4,YSRCP,BJP
133,Visakhapatnam (Vizag),42,Female,Secondary,Student,Middle,Coastal,4,3,4,3,3,4,3,4,3,3,3,4,5,JanaSena,JanaSena
134,Visakhapatnam (Vizag),24,Female,Secondary,Fisherman,Middle,Urban,3,4,4,4,4,4,4,5,3,3,3,3,4,BJP,BJP
135,Visakhapatnam (Vizag),26,Female,Secondary,Self-Employed,Middle,Urban,5,4,5,2,4,4,2,2,3,4,4,3,4,YSRCP,YSRCP
136,Visakhapatnam (Vizag),41,Female,Secondary,Fisherman,Middle,Urban,4,4,3,5,4,2,5,5,4,4,3,3,3,BJP,BJP
137,Visakhapatnam (Vizag),18,Male,Secondary,Government Employee,Low,Coastal,3,3,5,3,4,4,4,2,3,4,3,4,4,YSRCP,YSRCP
138,Visakhapatnam (Vizag),61,Male,Secondary,Private Job,Middle,Rural,3,4,3,4,4,3,4,4,3,2,3,3,4,BJP,TDP
139,Visakhapatnam (Vizag),25,Female,Graduate,Student,Low,Rural,3,4,3,4,5,4,4,3,5,4,3,4,3,YSRCP,TDP
140,Visakhapatnam (Vizag),41,Female,Secondary,Private Job,Middle,Urban,5,4,5,3,4,4,3,3,3,4,4,4,4,YSRCP,YSRCP
141,Visakhapatnam (Vizag),28,Male,Postgraduate,Self-Employed,Middle,Rural,4,4,4,4,4,3,4,3,3,4,4,3,4,TDP,TDP
142,Visakhapatnam (Vizag),68,Male,Postgraduate,Student,Middle,Urban,5,4,4,3,3,5,3,4,4,4,3,4,4,YSRCP,YSRCP
143,Visakhapatnam (Vizag),34,Male,Secondary,Government Employee,Low,Urban,3,4,3,2,4,4,3,3,3,4,3,4,4,YSRCP,YSRCP
144,Visakhapatnam (Vizag),25,Female,Graduate,Student,Middle,Coastal,4,5,3,3,5,4,3,4,4,5,4,2,4,TDP,TDP
145,Visakhapatnam (Vizag),52,Male,Graduate,Student,Low,Coastal,4,4,4,3,4,5,3,3,3,4,4,3,4,BJP,YSRCP
146,Visakhapatnam (Vizag),52,Male,Graduate,Fisherman,Middle,Coastal,3,4,3,5,3,3,5,5,3,4,3,4,3,BJP,BJP
147,Visakhapatnam (Vizag),50,Male,Secondary,Private Job,High,Coastal,4,4,4,2,4,4,3,3,4,4,3,3,4,YSRCP,YSRCP
148,Visakhapatnam (Vizag),76,Male,Secondary,Self-Employed,High,Urban,4,4,4,4,4,3,4,5,3,3,3,3,4,YSRCP,BJP
149,Visakhapatnam (Vizag),22,Female,Secondary,Fisherman,Middle,Urban,3,3,3,4,4,4,4,5,4,3,3,4,3,BJP,BJP
150,Visakhapatnam (Vizag),59,Male,Secondary,Student,Middle,Rural,4,3,3,3,3,4,5,4,3,4,3,4,3,YSRCP,BJP
151,Visakhapatnam (Vizag),56,Female,Graduate,Self-Employed,Low,Coastal,4,4,4,3,4,3,3,3,4,3,4,4,4,YSRCP,TDP
152,Visakhapatnam (Vizag),75,Male,Graduate,Fisherman,Low,Urban,3,4,3,3,3,4,4,3,3,4,3,4,4,JanaSena,JanaSena
153,Visakhapatnam (Vizag),58,Female,Secondary,Government Employee,Middle,Urban,4,4,4,2,4,4,3,3,3,4,3,5,3,TDP,YSRCP
154,Visakhapatnam (Vizag),45,Male,Graduate,Private Job,Middle,Urban,5,5,5,3,4,4,3,3,3,4,3,3,4,YSRCP,YSRCP
155,Visakhapatnam (Vizag),24,Male,Primary,Government Employee,High,Rural,4,4,3,4,4,3,3,4,4,5,4,2,4,YSRCP,TDP
156,Visakhapatnam (Vizag),26,Female,Secondary,Fisherman,Low,Urban,4,3,4,2,3,5,3,3,4,4,3,4,4,YSRCP,YSRCP
157,Visakhapatnam (Vizag),25,Female,Graduate,Fisherman,High,Urban,4,4,4,3,4,4,3,3,4,3,3,4,4,JanaSena,JanaSena
158,Visakhapatnam (Vizag),29,Female,Secondary,Government Employee,Middle,Urban,3,4,5,2,4,3,3,3,3,4,3,4,4,YSRCP,YSRCP
159,Visakhapatnam (Vizag),51,Female,Primary,Self-Employed,Middle,Urban,3,4,3,4,4,4,5,4,3,3,3,3,3,BJP,BJP
160,Visakhapatnam (Vizag),50,Female,Secondary,Student,Low,Coastal,3,3,3,4,4,4,4,5,3,3,3,4,3,BJP,BJP
161,Visakhapatnam (Vizag),65,Male,Secondary,Private Job,Low,Urban,5,4,5,4,4,5,3,4,4,4,4,4,4,YSRCP,YSRCP
162,Visakhapatnam (Vizag),72,Female,Postgraduate,Fisherman,Middle,Rural,3,4,4,4,4,3,3,2,3,4,4,4,4,TDP,BJP
163,Visakhapatnam (Vizag),40,Male,Graduate,Government Employee,Middle,Rural,4,4,5,2,4,4,3,4,4,5,4,4,4,YSRCP,YSRCP
164,Visakhapatnam (Vizag),79,Female,Postgraduate,Private Job,Low,Coastal,3,5,3,3,4,4,3,4,4,4,4,3,4,TDP,TDP
165,Visakhapatnam (Vizag),41,Female,Graduate,Self-Employed,Middle,Urban,5,4,5,2,3,5,3,3,3,5,3,4,3,YSRCP,YSRCP
166,Visakhapatnam (Vizag),54,Female,Secondary,Self-Employed,Middle,Coastal,4,4,3,3,3,4,3,4,4,4,3,4,3,YSRCP,JanaSena
167,Visakhapatnam (Vizag),52,Female,Secondary,Student,Middle,Rural,4,3,5,3,2,4,3,3,4,3,3,5,5,JanaSena,BJP
168,Visakhapatnam (Vizag),61,Male,Graduate,Self-Employed,High,Coastal,5,4,4,3,4,4,4,3,3,4,4,4,4,YSRCP,YSRCP
169,Visakhapatnam (Vizag),57,Female,Primary,Fisherman,Low,Coastal,4,5,4,2,4,5,2,4,4,4,4,3,3,TDP,YSRCP
170,Visakhapatnam (Vizag),39,Male,Postgraduate,Student,Low,Urban,3,3,3,4,4,4,5,4,3,3,4,4,3,YSRCP,BJP
171,Visakhapatnam (Vizag),44,Female,Graduate,Private Job,Middle,Urban,5,4,4,4,4,4,3,3,4,4,3,5,3,JanaSena,YSRCP
172,Visakhapatnam (Vizag),52,Female,Secondary,Self-Employed,Low,Urban,4,4,4,3,4,5,2,3,4,4,4,5,3,JanaSena,JanaSena
173,Visakhapatnam (Vizag),18,Male,Postgraduate,Private Job,Low,Rural,4,4,3,3,4,3,3,3,4,4,3,4,3,TDP,TDP
174,Visakhapatnam (Vizag),52,Female,Graduate,Student,Low,Urban,4,4,3,4,4,4,3,4,3,4,4,4,5,YSRCP,TDP
175,Visakhapatnam (Vizag),54,Female,Graduate,Self-Employed,Low,Urban,3,4,3,4,4,4,4,3,4,4,3,3,4,BJP,BJP
176,Visakhapatnam (Vizag),64,Female,Primary,Fisherman,Low,Urban,4,4,4,3,4,4,3,3,4,4,4,3,4,TDP,TDP
177,Visakhapatnam (Vizag),31,Female,Secondary,Private Job,Low,Urban,4,4,4,3,4,5,2,4,4,4,3,4,3,JanaSena,JanaSena
178,Visakhapatnam (Vizag),20,Male,Secondary,Student,Low,Urban,3,3,4,4,2,4,3,3,4,4,2,3,4,JanaSena,JanaSena
179,Visakhapatnam (Vizag),18,Male,Secondary,Private Job,Low,Urban,4,4,4,2,3,4,2,4,3,4,4,5,5,YSRCP,YSRCP
180,Visakhapatnam (Vizag),22,Female,Primary,Private Job,Middle,Urban,5,5,4,2,4,5,3,3,3,3,3,4,3,TDP,YSRCP
181,Visakhapatnam (Vizag),43,Male,Graduate,Private Job,Middle,Urban,4,2,4,4,4,4,3,3,3,4,4,4,3,JanaSena,JanaSena
182,Visakhapatnam (Vizag),72,Female,Primary,Fisherman,Middle,Urban,4,4,5,3,4,4,3,3,4,3,3,4,4,JanaSena,JanaSena
